Beginning of the log file
Time, ButtonType, ButtonPressDuration
1.607503,Space,,
1.69579,Space,0.08828688,
1.867708,Space,,
1.968807,Space,,
2.063512,Space,0.09470475,
2.237772,Space,,
2.325665,DownArrow,,
2.420443,DownArrow,0.09477806,
3.043433,Space,,
3.131433,Space,0.08800006,
3.235663,Space,,
3.328995,Space,0.09333181,
3.435386,Space,,
3.551114,Space,,
3.640129,Space,0.08901501,
3.806473,Space,,
3.895034,DownArrow,,
4.012413,DownArrow,0.117379,
4.332685,Space,,
4.477653,Space,0.144968,
4.641578,Space,,
4.728656,Space,,
4.816895,Space,,
4.89901,Space,0.08211422,
4.986047,DownArrow,,
5.069148,DownArrow,0.0831008,
5.563917,Space,,
5.732338,Space,,
5.84563,Space,,
5.91261,Space,0.06697989,
6.9022,DownArrow,,
7.00801,DownArrow,0.1058106,
8.102036,Space,,
8.185245,Space,0.08320904,
10.06174,DownArrow,,
10.14962,DownArrow,,
10.14962,DownArrow,0,
10.2518,DownArrow,0.1021833,
10.33996,DownArrow,,
10.49842,DownArrow,,
10.49842,DownArrow,0,
10.58432,DownArrow,,
10.74604,DownArrow,,
10.74604,DownArrow,0,
10.76837,DownArrow,0.02232456,
10.83481,DownArrow,,
10.99543,DownArrow,,
10.99543,DownArrow,0,
11.01857,DownArrow,0.02314758,
11.1809,DownArrow,,
11.1809,DownArrow,0,
11.3359,DownArrow,,
11.3359,DownArrow,0,
11.42454,DownArrow,,
11.42454,DownArrow,0,
11.50521,DownArrow,,
11.58675,DownArrow,0.08153248,
11.75382,DownArrow,,
11.75382,DownArrow,0,
12.77838,DownArrow,1.024563,
12.86472,DownArrow,,
12.86472,DownArrow,0,
12.96062,DownArrow,,
13.04592,DownArrow,0.08530045,
13.13391,DownArrow,,
13.28419,DownArrow,,
13.28419,DownArrow,0,
13.36379,DownArrow,,
13.53961,DownArrow,,
13.53961,DownArrow,0,
13.56458,DownArrow,0.02497673,
13.72569,DownArrow,,
13.72569,DownArrow,0,
13.81172,DownArrow,,
13.97814,DownArrow,,
13.97814,DownArrow,0,
14.06176,DownArrow,,
14.22609,DownArrow,,
14.22609,DownArrow,0,
14.31529,DownArrow,0.08919525,
14.49113,DownArrow,,
14.49113,DownArrow,0,
14.5722,DownArrow,0.08106899,
14.65731,DownArrow,,
14.65731,DownArrow,0,
Number of Button Presses
Spacebar
17
Down Arrow
30

