Beginning of the log file
Time, ButtonType, ButtonPressDuration
1.14725,DownArrow,,
1.240831,DownArrow,0.0935818,
1.568854,DownArrow,,
1.671439,DownArrow,0.1025848,
2.169538,Space,,
2.27813,Space,0.1085923,
2.774283,Space,,
2.878215,Space,0.1039321,
2.984795,Space,,
3.041912,Space,0.05711627,
3.149149,Space,,
3.199396,Space,0.05024719,
3.31163,Space,,
3.36104,Space,0.04940939,
5.790686,DownArrow,,
5.907354,DownArrow,0.1166687,
6.233857,DownArrow,,
6.384454,DownArrow,0.1505971,
6.771151,DownArrow,,
8.38896,DownArrow,1.617809,
9.117579,Space,,
9.212387,Space,0.09480858,
9.703676,Space,,
9.800155,Space,0.09647846,
9.99958,Space,,
10.22742,Space,0.2278423,
10.39616,Space,,
10.49746,Space,0.101305,
10.63817,Space,,
10.68578,Space,0.04761505,
11.94817,DownArrow,,
12.47169,DownArrow,0.5235224,
12.62111,DownArrow,,
12.7668,DownArrow,0.1456909,
13.0588,DownArrow,,
13.15592,DownArrow,0.09711361,
13.69436,Space,,
13.79167,Space,0.09731865,
14.21273,Space,,
14.31927,Space,0.1065445,
14.41555,Space,,
14.5026,Space,0.08705711,
14.6494,Space,,
14.70007,Space,0.0506649,
14.84514,Space,,
14.89614,Space,0.05099392,
16.66768,DownArrow,,
16.85697,DownArrow,0.189291,
17.30208,DownArrow,,
17.41446,DownArrow,0.1123791,
17.90357,Space,,
18.00494,Space,0.1013699,
18.21481,Space,,
18.27563,Space,0.06082153,
18.384,Space,,
18.47845,Space,0.0944519,
18.53621,Space,,
18.62882,Space,0.09261131,
18.73028,DownArrow,,
18.77825,DownArrow,0.04796791,
19.40719,DownArrow,,
19.50484,DownArrow,,
19.55466,DownArrow,0.04981804,
19.65143,DownArrow,,
19.74619,DownArrow,0.0947628,
19.80716,DownArrow,,
19.86151,DownArrow,0.05434608,
19.96,DownArrow,,
20.01008,DownArrow,0.05007553,
20.05842,DownArrow,,
20.1077,DownArrow,0.04927444,
20.20764,DownArrow,,
20.25483,DownArrow,0.04718971,
20.31039,DownArrow,,
20.40034,DownArrow,0.08995247,
20.74352,DownArrow,,
20.79239,DownArrow,0.04886436,
21.3263,DownArrow,,
21.42646,DownArrow,0.1001568,
21.52328,DownArrow,,
21.62707,DownArrow,,
21.67119,DownArrow,0.04411316,
22.60163,DownArrow,,
22.70596,DownArrow,0.1043339,
22.80114,DownArrow,,
22.92288,DownArrow,,
23.02213,DownArrow,0.09924889,
23.50957,DownArrow,,
24.04025,Space,,
24.13695,Space,0.09670067,
24.24229,Space,,
24.34434,Space,,
24.42895,Space,0.08460617,
24.52549,Space,,
24.58118,Space,0.05569458,
25.85591,DownArrow,,
26.39269,DownArrow,,
27.05835,Space,,
27.15634,Space,0.09799385,
Number of Button Presses
Spacebar
24
Down Arrow
29

